Settore Merceologico Principale,Settore Merceologico Secondario,Insegna,Tipo via,Via,Civico,Codice via,ZD,Accesso,Isolato,Settore Storico Cf Preval,Superficie Vendita,Superficie Altri Usi
alimentare,non alimentare,cadornino srl.,PLE,CADORNA LUIGI,14,601,1,interno,164,pasticceria,40.0,0.0
alimentare,non alimentare,caffe  e macchine espress,VIA,POLLAIUOLO ANTONIO,9,1146,9,esterno,262,caffe crudo e torrefatto,10.0,55.0
alimentare,non alimentare,caffe  metro  venezia,VIA,SIRTORI GIUSEPPE,14,2180,3,interno,998,bar,99.0,0.0
alimentare,non alimentare,casa del caffe,VLE,CAMPANIA,51,3100,4,esterno,213,caffe crudo e torrefatto,22.0,6.0
alimentare,non alimentare,casa della frutta,VIA,BORSIERI PIETRO,39,1128,9,esterno,263,"frutta, verdura e funghi",30.0,20.0
alimentare,non alimentare,chez pierre,VIA,VETTABBIA,1,5187,1,esterno,210,formaggi e fattorie,55.0,0.0
alimentare,non alimentare,circolo al 192,VIA,BARONI COSTANTINO,192,5422,5,interno,97,coop. di consumo mista,120.0,0.0
alimentare,non alimentare,colucci il fornaio,VIA,PONTE SEVESO,18,1203,2,esterno,202,panificio (con forno),40.0,185.0
alimentare,non alimentare,conti confetteria sas.,CSO,VENTIDUE MARZO,41,3074,4,esterno,249,bomboniere,25.0,0.0
alimentare,non alimentare,coruzzi,VIA,SAN PIETRO ALL'ORTO,11,213,1,esterno,361,articoli regalo,43.0,0.0
alimentare,non alimentare,crai simpatia,VIA,SAN FAUSTINO,3,2681,3,esterno,148,minimercati,109.0,0.0
alimentare,non alimentare,cral alleanza assicurazio,VLE,STURZO DON LUIGI,35,1704,9,NP,316,spaccio aziendale misto,156.0,0.0
alimentare,non alimentare,davar srl.,VLE,SAN GIMIGNANO,10,6613,6,esterno,72,articoli regalo,11.0,8.0
alimentare,non alimentare,day market,VIA,GIOVIO PAOLO,24,6194,7,esterno,258,minimercati,173.0,0.0
alimentare,non alimentare,despar,VLE,FAENZA,1,5350,6,esterno,74,drogheria,73.0,0.0
alimentare,non alimentare,diperdi,VIA,CASTALDI PANFILO,32,2119,3,esterno,137,minimercati,120.0,67.0
alimentare,non alimentare,di  per di,VIA,CUCCHIARI DOMENICO,9,7224,8,esterno,10,minimercati,160.0,303.0
alimentare,non alimentare,di  per di,VIA,SANTA LUCIA,2,4018,1,esterno,47,minimercati,215.0,63.0
alimentare,non alimentare,di per di,VIA,BEZZECCA,10,3075,4,esterno,50,minimercati,241.0,63.0
alimentare,non alimentare,di per di,VIA,COSSERIA,1,5197,5,esterno,87,supermercato alimentare,245.0,126.0
alimentare,non alimentare,di per di,VIA,DEI TRANSITI,20,2284,2,esterno,332,supermercato alimentare,250.0,90.0
alimentare,non alimentare,di per di,VIA,GARIAN,40,6119,6,esterno,290,minimercati,195.0,73.0
alimentare,non alimentare,di per di,VIA,OGLIO,28,4105,4,esterno,118,minimercati,214.0,277.0
alimentare,non alimentare,di per di,VIA,SAN GREGORIO,3,2123,3,esterno,105,minimercati,192.0,48.0
alimentare,non alimentare,di per di,VIA,SETTEMBRINI LUIGI,27,2127,2,esterno,40,minimercati,250.0,150.0
alimentare,non alimentare,di per di,VIA,TESSA DELIO,2,1020,1,esterno,244,minimercati,220.0,19.0
alimentare,non alimentare,di per di,VIA,VENINI GIULIO E CORRADO,87,2258,2,esterno,320,minimercati,200.0,50.0
alimentare,non alimentare,di per di,VLE,FAENZA,27,5350,6,esterno,74,minimercati,160.0,51.0
alimentare,non alimentare,di per di,VLE,GRAN SASSO,3,2243,3,esterno,40,minimercati,215.0,31.0
alimentare,non alimentare,di per di,VLE,PASUBIO,8,1112,9,esterno,317,minimercati,178.0,40.0
alimentare,non alimentare,dispensa di alimento,VLE,CORSICA,79,3262,4,NP,258,"frutta, verdura e funghi",25.0,9.0
alimentare,non alimentare,distributore carburanti,VIA,LORENTEGGIO,268,5132,6,esterno,86,carburanti e lubrificanti,28.0,0.0
alimentare,non alimentare,distributori automatici,CSO,LODI,113,4068,4,NP,53,minimercati,20.0,0.0
alimentare,non alimentare,distributori automatici,VIA,FARINI CARLO,38,1114,9,NP,256,minimercati,34.0,0.0
alimentare,non alimentare,di x di express,VIA,ASELLI GASPARE,27,3167,3,esterno,161,minimercati,126.0,100.0
alimentare,non alimentare,di x di express,VLE,ROMAGNA,23,3102,3,esterno,156,minimercati,227.0,0.0
alimentare,non alimentare,dolciumi peluche videotap,VIA,LOSANNA,12,7190,8,esterno,47,dolciumi,186.0,0.0
alimentare,non alimentare,douglas baratti,VIA,SAN PROTASO,3/5,109,1,esterno,412,profumeria,120.0,80.0
alimentare,non alimentare,drogheria,VIA,ISERNIA,5,6461,8,esterno,98,drogheria,143.0,1.0
alimentare,non alimentare,drogheria,VIA,MONCALIERI,15,1095,9,interno,128,drogheria,40.0,75.0
alimentare,non alimentare,drogheria,VLE,SARCA,73,1427,9,esterno,153,drogheria,21.0,11.0
alimentare,non alimentare,drogheria porpora serino,VIA,PORPORA NICOLA ANTONIO,7,2229,3,esterno,277,drogheria,45.0,40.0
alimentare,non alimentare,drogheria radrizzani,VLE,PIAVE,20,2179,3,esterno,154,latteria,174.0,0.0
alimentare,non alimentare,eda market,VIA,SANTA CROCE,10,5188,1,esterno,212,minimercati,220.0,10.0
alimentare,non alimentare,el tambo minimarket,VIA,EUSTACHI BARTOLOMEO,48,2165,3,NP,48,drogheria,21.0,0.0
alimentare,non alimentare,erbolario,VIA,TEODOSIO,46,2550,3,esterno,37,erboristeria,38.0,10.0
alimentare,non alimentare,erborist.cinese qian qiu,VIA,MESSINA,17,7211,8,esterno,65,erboristeria,54.0,0.0
alimentare,non alimentare,erboristeria,CSO,LODI,54,4068,4,esterno,21,erboristeria,58.0,0.0
alimentare,non alimentare,erboristeria,VIA,DELLA MOSCOVA,10,1016,1,esterno,15,erboristeria,27.0,3.0
alimentare,non alimentare,erboristeria,VIA,MONTEGANI LODOVICO,20,5330,5,esterno,28,erboristeria,25.0,0.0
alimentare,non alimentare,erboristeria,VIA,NEERA ANNA,22,5326,5,esterno,42,erboristeria,28.0,2.0
alimentare,non alimentare,erboristeria,VIA,TADINO ALESSANDRO,1,2109,3,esterno,137,erboristeria,38.0,0.0
alimentare,non alimentare,erboristeria,VLE,ARGONNE,48,3254,4,esterno,221,erboristeria,35.0,18.0
alimentare,non alimentare,erboristeria dr.l.colombo,VIA,RIPAMONTI GIUSEPPE,194,4066,5,esterno,162,erboristeria,80.0,0.0
alimentare,non alimentare,erboristeria filo d erba,PLE,FERRARA,4,4158,4,esterno,119,erboristeria,25.0,0.0
alimentare,non alimentare,erboristeria il fiordalio,VLE,CERTOSA,41,7174,8,esterno,324,erboristeria,31.0,0.0
alimentare,non alimentare,erboristeria mediolanum,VIA,VOLTA ALESSANDRO,7,1018,1,esterno,85,erboristeria,109.0,0.0
alimentare,non alimentare,erboristeria ortopedia,VIA,COLA DI RIENZO,53,6094,6,esterno,13,erboristeria,71.0,60.0
alimentare,non alimentare,erboristeria rivola,VIA,MONTECASSINO,9,3346,4,esterno,126,erboristeria,35.0,15.0
alimentare,non alimentare,erboristeria vivinatura,CSO,BUENOS AIRES,65,2129,3,esterno,NP,erboristeria,27.0,0.0
alimentare,non alimentare,esso,VLE,RUBICONE,31,1568,9,esterno,8,accessori e ricambi auto-moto,48.0,65.0
alimentare,non alimentare,eurobangla,VIA,CRESPI PIETRO,16,2296,2,esterno,324,drogheria,27.0,37.0
alimentare,non alimentare,fabbr. pstic. castelnuovo,VIA,DEI TULIPANI,18,6713,6,esterno,139,pasticceria - gelateria,54.0,0.0
alimentare,non alimentare,fairyland srl.,PLE,GIOVANNI DALLE BANDE NERE,2,6614,7,esterno,16,bar,75.0,10.0
alimentare,non alimentare,fattorie astesani,VIA,ASTESANI ALESSANDRO,23,1558,9,esterno,100,formaggi e fattorie,19.0,12.0
alimentare,non alimentare,f.lli freni pasticceria,VIA,MAZZINI GIUSEPPE,2,516,1,esterno,447,pasticceria - gelateria,35.0,5.0
alimentare,non alimentare,f.lli freni pasticceria,VIA,PASSARELLA,4,298,1,esterno,386,pasticceria - gelateria,68.0,0.0
alimentare,non alimentare,fre mis,VIA,LANINO BERNARDINO,6,6105,6,esterno,8,profumeria,119.0,218.0
alimentare,non alimentare,frutta e verdura,VIA,ORNATO LUIGI,45,1591,9,esterno,64,"frutta, verdura e funghi",22.0,20.0
alimentare,non alimentare,frutta e verdura,VIA,WASHINGTON GIORGIO,92,6111,6,esterno,308,"frutta, verdura e funghi",14.0,11.0
alimentare,non alimentare,frutteto cadore,VIA,SPARTACO,38,3186,4,esterno,71,"frutta, verdura e funghi",20.0,5.0
alimentare,non alimentare,frutteto campania,VLE,CAMPANIA,30,3100,4,esterno,243,"frutta, verdura e funghi",35.0,0.0
alimentare,non alimentare,frutteto fiorentino,VIA,TARAMELLI TORQUATO,60,1164,2,esterno,180,"frutta, verdura e funghi",12.0,8.0
alimentare,non alimentare,frutteto minimarket,VLE,CATERINA DA FORLI',7,6611,6,esterno,31,"frutta, verdura e funghi",28.0,9.0
alimentare,non alimentare,fruttivendolo,PLE,BACONE FRANCESCO,12,2100,3,esterno,37,"frutta, verdura e funghi",34.0,0.0
alimentare,non alimentare,fruttivendolo,VIA,GNOCCHI DON CARLO,3,6483,7,esterno,233,"frutta, verdura e funghi",19.0,0.0
alimentare,non alimentare,fruttivendolo,VIA,MAIOCCHI ACHILLE,12,2162,3,esterno,113,"frutta, verdura e funghi",19.0,0.0
alimentare,non alimentare,fruttivendolo,VLE,STELVIO,39,1227,9,esterno,212,"frutta, verdura e funghi",49.0,10.0
alimentare,non alimentare,garbagnati sas.,VIA,DANTE ALIGHIERI,13,612,1,esterno,NP,panetteria,60.0,0.0
alimentare,non alimentare,gelaterie  e  cioccolaterie,CSO,DI PORTA VITTORIA,31,3016,1,esterno,107,gelateria,40.0,0.0
alimentare,non alimentare,gelmarket,VIA,CADORE,27,3077,4,esterno,6,surgelati,190.0,0.0
alimentare,non alimentare,giovanni galli,VIA,HUGO VICTOR,2,548,1,esterno,437,pasticceria,59.0,6.0
alimentare,non alimentare,giovanni galli marroni ec,CSO,DI PORTA ROMANA,2,402,1,esterno,395,pasticceria,35.0,20.0
alimentare,non alimentare,giudici sport snc.,VLE,ORTLES,5,4133,5,esterno,44,articoli sportivi,250.0,400.0
alimentare,non alimentare,goldengrain sas.,VIA,DELLE LEGHE,19,2285,2,esterno,330,posteria - bazar,47.0,0.0
alimentare,non alimentare,granmarket srl.,VIA,VITRUVIO,32,2134,3,esterno,41,minimercati,125.0,0.0
alimentare,non alimentare,gruppo apicoltori riuniti,PLE,LAGOSTA,2,1155,9,esterno,278,macch.e prod. per agricoltura macchine e prodotti per l' agricoltura,33.0,0.0
alimentare,non alimentare,gruppo apicoltori riuniti,VIA,FAUCHE' GIOVANNI BATTISTA,9,7192,8,esterno,48,macch.e prod. per agricoltura macchine e prodotti per l' agricoltura,44.0,0.0
alimentare,non alimentare,huaren alimentari,VIA,MESSINA,7,7211,8,esterno,74,minimercati,52.0,28.0
alimentare,non alimentare,il caffe  ambrosiano,CSO,VENTIDUE MARZO,18,3074,4,esterno,44,caffe crudo e torrefatto,70.0,8.0
alimentare,non alimentare,il cielo (aliment.giappon,VLE,MONTELLO,6,7126,1,esterno,120,rosticceria,85.0,5.0
alimentare,non alimentare,il fornaio,VIA,SCIESA AMATORE,6,3072,4,esterno,43,panificio (con forno),35.0,18.0
alimentare,non alimentare,il forno,VLE,CONI ZUGNA,21,5110,1,esterno,12,panificio (con forno),23.0,20.0
alimentare,non alimentare,il frutteto della via bri,VIA,BRISA,15,637,1,esterno,343,"frutta, verdura e funghi",30.0,4.0
alimentare,non alimentare,il giardino della frutta,VLE,ABRUZZI,25,2177,3,esterno,58,"frutta, verdura e funghi",35.0,0.0
alimentare,non alimentare,il mercato verde,VIA,BERUTO CESARE,2,2586,3,esterno,86,prodotti naturali e biologici,177.0,64.0
alimentare,non alimentare,il pane della ripa,RIP,DI PTA TICINESE,55,5150,6,esterno,72,panetteria,38.0,38.0
alimentare,non alimentare,il papavero,VIA,PIERLUIGI GIOVANNI DA PALESTRINA,4,2235,3,esterno,7,drogheria,73.0,0.0
alimentare,non alimentare,il sapore del grano,VIA,ARCONATI COSTANZA,9,3211,4,esterno,62,panetteria,37.0,13.0
alimentare,non alimentare,il verde,VIA,SAN GREGORIO,6,2123,3,esterno,78,erboristeria,29.0,0.0
alimentare,non alimentare,index asian alimentari,VIA,MENABREA LUIGI FEDERICO,24/A,1322,9,esterno,154,alimentari internazionali,42.0,58.0
alimentare,non alimentare,international world foods,VIA,SAMMARTINI GIOVANNI BATTISTA,15,1202,2,NP,247,minimercati,110.0,13.0
alimentare,non alimentare,interno ipercoop,VIA,QUARENGHI GIACOMO,23,7478,8,interno,300,"frutta, verdura e funghi",60.0,0.0
alimentare,non alimentare,int phone center,VLE,STELVIO,44,1227,9,NP,161,alimentari internazionali,29.0,0.0
alimentare,non alimentare,int.stazione carburanti,VIA,PROCACCINI GIULIO CESARE,9,7204,8,esterno,65,autogrill-bazar misto,14.0,461.0
alimentare,non alimentare,issimo alimentari bronzet,VIA,F.LLI BRONZETTI,6,3089,4,esterno,6,minimercati,79.0,0.0
alimentare,non alimentare,kaluha cafe,VIA,DEL CARAVAGGIO,12,6103,6,esterno,9,caffe crudo e torrefatto,4.0,28.0
alimentare,non alimentare,kasanova,CSO,VENTIDUE MARZO,4,3074,4,esterno,43,casalinghi,115.0,98.0
alimentare,non alimentare,kasa srl.,CSO,BUENOS AIRES,26,2129,3,interno,82,casalinghi,140.0,21.0
alimentare,non alimentare,kathay international,PZA,QUATTRO NOVEMBRE,4,1199,2,esterno,247,minimercati,96.0,0.0
alimentare,non alimentare,la botteguccia sas.,VIA,CAVALLOTTI FELICE,14,312,1,interno,319,quadri e cornici,85.0,0.0
alimentare,non alimentare,la casa umbra,VLE,MONZA,291,2274,2,interno,64,soprammob.in materiale vario,80.0,0.0
alimentare,non alimentare,la coloniale di pogliani,VIA,MARANGONI LEOPOLDO,3,1192,2,esterno,311,drogheria,86.0,10.0
alimentare,non alimentare,la madreselva,LGO,USUELLI CELESTINO,1,2192,3,esterno,94,erboristeria,26.0,15.0
alimentare,non alimentare,l angolo frutta e verdura,VIA,MELZO,19,2184,3,esterno,143,"frutta, verdura e funghi",21.0,0.0
alimentare,non alimentare,l antica arte del dolce,VIA,ANFOSSI AUGUSTO,10,3071,4,esterno,56,pasticceria,12.0,13.0
alimentare,non alimentare,l ape regina,VIA,ASELLI GASPARE,41,3167,3,esterno,161,erboristeria,95.0,0.0
alimentare,non alimentare,la rugiada,VLE,GRAN SASSO,2,2243,3,esterno,63,erboristeria,35.0,0.0
alimentare,non alimentare,la salumeria del naviglio,VIA,LOMBARDINI ELIA,4,5146,6,NP,63,salumeria,40.0,0.0
alimentare,non alimentare,latteria,VIA,MAC MAHON,79,7221,8,esterno,307,latteria,52.0,12.0
alimentare,non alimentare,latteria anna caffe  nilo,VIA,MAROSTICA,29,6591,7,esterno,20,latteria,26.0,10.0
alimentare,non alimentare,latteria e prodot.x casa,PLE,DE AGOSTINI GIOVANNI,8,6138,6,esterno,305,latteria,30.0,10.0
alimentare,non alimentare,latteria pasticceria,VIA,HUGO VICTOR,4,548,1,esterno,NP,latteria,50.0,75.0
alimentare,non alimentare,l elisir,VIA,MASOLINO DA PANICALE,11,7264,8,esterno,300,erboristeria,20.0,15.0
alimentare,non alimentare,l erberia snc.,VIA,MADDALENA,5,401,1,esterno,355,erboristeria,40.0,0.0
alimentare,non alimentare,l erboristeria,VIA,QUARENGHI GIACOMO,23,7478,8,interno,300,erboristeria,40.0,2.0
alimentare,non alimentare,l oasi sas.,VIA,FLUMENDOSA,34,2522,2,esterno,249,"frutta, verdura e funghi",40.0,0.0
alimentare,non alimentare,l orto di eden,VLE,SABOTINO,38,4046,5,esterno,191,"frutta, verdura e funghi",43.0,0.0
alimentare,non alimentare,macelleria,VIA,BORSIERI PIETRO,25,1128,9,esterno,266,macelleria,177.0,13.0
alimentare,non alimentare,macelleria,VIA,POMPOSA,2,4282,4,esterno,126,macelleria islamica,50.0,0.0
alimentare,non alimentare,macelleria el badr,VLE,MONZA,68,2274,2,esterno,323,macelleria islamica,50.0,0.0
alimentare,non alimentare,macelleria la corte,VIA,MOSCA ANTONIO,198,6788,7,esterno,224,macelleria,67.0,0.0
alimentare,non alimentare,macelleria vettovaglie ec,VIA,CICERI VISCONTI LAURA,14,3220,4,esterno,81,macelleria,42.0,0.0
alimentare,non alimentare,maceller.islamica magrib,VIA,MARCO D'AGRATE,25,4276,5,esterno,114,macelleria islamica,90.0,0.0
alimentare,non alimentare,madre natura,VIA,FERRUCCI FRANCESCO,22,7150,8,esterno,86,"frutta, verdura e funghi",32.0,0.0
alimentare,non alimentare,manila internat. grocery,VLE,MONTE CENERI,78,7176,8,esterno,316,drogheria,30.0,8.0
alimentare,non alimentare,market gea,PLE,NEGRELLI LUIGI,4,5368,6,esterno,24,minimercati,90.0,120.0
alimentare,non alimentare,martin s bar,PZA,QUATTRO NOVEMBRE,1,1199,2,esterno,245,bar,110.0,0.0
alimentare,non alimentare,migliorini sas.,VIA,VALLAZZE,74,2250,3,esterno,49,drogheria,40.0,20.0
alimentare,non alimentare,minimarket,VIA,AMADEO GIAN ANTONIO,28,3228,3,esterno,199,minimercati,90.0,0.0
alimentare,non alimentare,minimarket,VIA,BRUNO GIORDANO,3,7130,1,esterno,114,minimercati,52.0,0.0
alimentare,non alimentare,minimarket,VIA,CANONICA LUIGI,35,7121,1,esterno,112,minimercati,130.0,118.0
alimentare,non alimentare,minimarket,VIA,CICOGNA MOZZONI CARLO,9,1676,9,esterno,135,minimercati,250.0,0.0
alimentare,non alimentare,minimarket,VIA,CLITUMNO,18,2367,2,esterno,317,minimercati,232.0,222.0
alimentare,non alimentare,minimarket,VIA,DEGLI IMBRIANI,29,1266,9,esterno,78,minimercati,27.0,0.0
alimentare,non alimentare,minimarket,VIA,EUSTACHI BARTOLOMEO,24,2165,3,esterno,66,minimercati,80.0,0.0
alimentare,non alimentare,minimarket,VIA,NEGROLI,23,3279,4,esterno,246,minimercati,137.0,0.0
alimentare,non alimentare,minimarket,VIA,PETRELLA ERRICO,18,2137,3,esterno,23,minimercati,90.0,0.0
alimentare,non alimentare,minimarket,VIA,RISMONDO FRANCESCO,56,6756,7,esterno,89,minimercati,77.0,33.0
alimentare,non alimentare,minimarket,VIA,STOPPANI ANTONIO,11,2163,3,esterno,89,minimercati,110.0,50.0
alimentare,non alimentare,minimarket,VIA,TARTINI GIUSEPPE,37,1501,9,esterno,16,minimercati,55.0,0.0
alimentare,non alimentare,minimarket essada snc.,VIA,RICCIARELLI DANIELE,43,6553,7,esterno,286,minimercati,65.0,0.0
alimentare,non alimentare,minimarket kasher,VIA,SODERINI LUIGI,27,6675,6,esterno,75,minimercati,84.0,76.0
alimentare,non alimentare,minimarket maceller.kamal,VLE,GIOVANNI DA CERMENATE,24,5261,5,esterno,22,minimercati,122.0,0.0
alimentare,non alimentare,mister hu,VIA,PORPORA NICOLA ANTONIO,161,2229,3,esterno,20,rosticceria,22.0,30.0
alimentare,non alimentare,mitsuba take away,VIA,SCOGLIO DI QUARTO,3,5172,5,esterno,84,alimentari internazionali,20.0,40.0
alimentare,non alimentare,molina bar illy,VIA,MOSCATI PIETRO,13,7136,8,esterno,104,bar,110.0,0.0
alimentare,non alimentare,mondadori,VIA,PONTI ETTORE,21,5297,6,NP,NP,libreria,175.0,68.0
alimentare,non alimentare,mondobio,VIA,LEONCAVALLO RUGGERO,15,2389,2,esterno,335,minimercati,85.0,17.0
alimentare,non alimentare,natura e benessere,VIA,VARESINA,92,7290,8,esterno,237,prodotti naturali e biologici,20.0,9.0
alimentare,non alimentare,natura si,VLE,CASSALA,61,5275,6,esterno,67,minimercati,220.0,0.0
alimentare,non alimentare,naturvitae erboristeria,VLE,MUGELLO,7,3140,4,esterno,263,erboristeria,33.0,15.0
alimentare,non alimentare,neuhaus,VIA,SAN VITTORE,6,647,1,esterno,283,dolciumi,29.0,0.0
alimentare,non alimentare,nidasi bomboniere,VIA,NEERA ANNA,14,5326,5,esterno,42,bomboniere,77.0,0.0
alimentare,non alimentare,nirvana snc.,VIA,CASTALDI PANFILO,42,2119,3,interno,138,profumeria,120.0,0.0
alimentare,non alimentare,nonsoloerbe erboristeria,VIA,APPIANI ANDREA,15,1050,1,esterno,88,erboristeria,95.0,0.0
alimentare,non alimentare,non solo pane,VIA,MURAT GIOACCHINO,38,1316,9,esterno,75,panetteria,52.0,0.0
alimentare,non alimentare,nuovi cosmetici naturali,VIA,SILVA GUGLIELMO,39,6400,8,esterno,212,profumeria,17.0,33.0
alimentare,non alimentare,oleificio imperolio sas.,VIA,RIVOLI,2,7080,1,esterno,243,vini - olii e liquori in recip,16.0,0.0
alimentare,non alimentare,ortofresco,VLE,MONTE NERO,66,3062,4,esterno,55,"frutta, verdura e funghi",20.0,0.0
alimentare,non alimentare,pane e pizza,VLE,CORSICA,73,3262,4,esterno,258,panetteria,38.0,6.0
alimentare,non alimentare,pane pasta,VLE,GIOVANNI DA CERMENATE,66,5261,5,esterno,23,panetteria,40.0,5.0
alimentare,non alimentare,panet.drogh.market eda 27,VIA,ABBIATI FILIPPO,2,6556,7,esterno,249,minimercati,54.0,12.0
alimentare,non alimentare,panetteria,VIA,PRINCIPE EUGENIO,30,7223,8,esterno,10,panificio (con forno),32.0,100.0
alimentare,non alimentare,panetteria foglio,VLE,MONTE CENERI,74,7176,8,esterno,316,panetteria,24.0,24.0
alimentare,non alimentare,panetteria pasticceria,CSO,DI PORTA ROMANA,72,402,1,esterno,205,panetteria,27.0,20.0
alimentare,non alimentare,panetteria pasticceria,VIA,CALIFORNIA,24,6101,6,esterno,8,panetteria,50.0,80.0
alimentare,non alimentare,panificio,VIA,BATTISTOTTI SASSI LUISA,28,3273,4,esterno,245,panificio (con forno),35.0,55.0
alimentare,non alimentare,panificio,VIA,GIANELLA GIUSEPPE,1,6775,7,esterno,145,panificio (con forno),35.0,60.0
alimentare,non alimentare,panificio,VIA,SANTA RADEGONDA,16,208,1,esterno,419,pasticceria,47.0,75.0
alimentare,non alimentare,panificio,VIA,SCUTARI,1,2340,2,esterno,281,panificio (con forno),46.0,0.0
alimentare,non alimentare,panificio barbisotti,VIA,CREMA,1,4061,5,esterno,191,panificio (con forno),32.0,34.0
alimentare,non alimentare,panificio bollani,VIA,RIPAMONTI GIUSEPPE,150,4066,5,esterno,102,panificio (con forno),36.0,16.0
alimentare,non alimentare,panificio el forner,VIA,FERRUCCI FRANCESCO,1,7150,8,esterno,90,panificio (con forno),18.0,50.0
alimentare,non alimentare,panificio fichera,VIA,VIGNOLI TITO,39,5134,6,esterno,148,panificio (con forno),18.0,40.0
alimentare,non alimentare,panificio pasticceria,CSO,PLEBISCITI,7,3120,3,esterno,177,panetteria,102.0,98.0
alimentare,non alimentare,panificio pasticceria,PLE,GAMBARA VERONICA,4,6593,7,esterno,10,panificio (con forno),28.0,65.0
alimentare,non alimentare,panificio pasticceria,VIA,CAVALCABO' PIETRO,3,6259,7,esterno,250,panetteria,40.0,40.0
alimentare,non alimentare,panificio pasticceria,VIA,PAULUCCI DI CALBOLI FULCIERI,3,1590,9,esterno,70,panificio (con forno),63.0,110.0
alimentare,non alimentare,panificio pasticceria,VIA,TORTONA,19,5124,6,esterno,45,panificio (con forno),22.0,40.0
alimentare,non alimentare,panificio stucchi edoardo,VIA,MURAT GIOACCHINO,70,1316,9,esterno,16,panificio (con forno),45.0,106.0
alimentare,non alimentare,panpharma sas.,VIA,VALLAZZE,12,2250,3,esterno,42,erboristeria,134.0,0.0
alimentare,non alimentare,pastic.bar gelat.torres,VIA,PADOVA,109,2275,2,esterno,279,pasticceria - gelateria,30.0,40.0
alimentare,non alimentare,pasticceria,VIA,MONTI VINCENZO,26,6155,1,esterno,233,pasticceria,36.0,0.0
alimentare,non alimentare,pasticceria bindi srl.,PZA,IMPERATORE TITO,8,3216,4,NP,81,pasticceria,108.0,0.0
alimentare,non alimentare,pasticceria bomboniere,VIA,OMBONI GIOVANNI,3,2151,3,esterno,83,pasticceria,86.0,56.0
alimentare,non alimentare,pasticceria confetteria,PZA,FERRAVILLA EDOARDO,3,3125,3,esterno,168,pasticceria - gelateria,45.0,40.0
alimentare,non alimentare,pasticceria confetteria,VLE,CONI ZUGNA,57,5110,1,esterno,28,pasticceria - gelateria,42.0,26.0
alimentare,non alimentare,pasticceria gelateria,VIA,DONATELLO,27,2214,3,esterno,65,pasticceria - gelateria,33.0,0.0
alimentare,non alimentare,pasticceria g. motta,VIA,CISLAGHI LUIGI,2,2474,2,esterno,101,pasticceria - gelateria,52.0,10.0
alimentare,non alimentare,pasticceria mellina,VLE,MONTE SANTO,10,1056,9,esterno,333,pasticceria - gelateria,70.0,0.0
alimentare,non alimentare,pasticceria migliavacca a,VIA,AJACCIO,13,3246,3,esterno,200,pasticceria - gelateria,105.0,130.0
alimentare,non alimentare,pasticceria paradiso,CSO,DI PORTA VIGENTINA,10,4026,1,esterno,205,pasticceria - gelateria,32.0,50.0
alimentare,non alimentare,pasticceria pralineria el,PZA,PIEMONTE,8,6254,7,esterno,214,pasticceria,28.0,12.0
alimentare,non alimentare,pasticceria renato,VIA,BARDELLI GIUSEPPE,11,2578,3,esterno,76,pasticceria - gelateria,33.0,20.0
alimentare,non alimentare,pasticceria santandrea,VIA,ROMANO GIULIO,27,4057,5,esterno,123,pasticceria,40.0,80.0
alimentare,non alimentare,pasticceria silvy,VIA,TEANO,30,1632,9,esterno,6,pasticceria,46.0,60.0
alimentare,non alimentare,pellicceria,VIA,MONTE NAPOLEONE,15,219,1,esterno,314,pellicceria,250.0,0.0
alimentare,non alimentare,penny market,VIA,VALLAZZE,108,2250,3,esterno,58,discount alimentare,151.0,0.0
alimentare,non alimentare,peries minimarket,VLE,ESPINASSE CARLO,73,7390,8,NP,239,minimercati,33.0,2.0
alimentare,non alimentare,per vivere s.r.l.,VLE,SAN MICHELE DEL CARSO,18,6212,7,esterno,242,erboristeria,37.0,0.0
alimentare,non alimentare,picard i surgelati spa.,VIA,CADORE,27,3077,4,esterno,72,surgelati,212.0,78.0
alimentare,non alimentare,pizze,VLE,CORSICA,7,3262,4,esterno,254,cibi cotti da asportare,60.0,0.0
alimentare,non alimentare,portello caffe coffee  e  f,VIA,GROSOTTO,7,7328,8,esterno,249,casalinghi,4.0,80.0
alimentare,non alimentare,posteria dell isola,VIA,VOLTURNO,37,1135,9,esterno,278,panetteria,25.0,6.0
alimentare,non alimentare,pracchi,VIA,MAMELI GOFFREDO,48,3088,4,esterno,38,minimercati,226.0,24.0
alimentare,non alimentare,pracchi,VLE,UMBRIA,66,3145,4,esterno,80,discount alimentare,213.0,37.0
alimentare,non alimentare,pracchi discount,VIA,DEGLI ZUCCARO,5,5390,6,esterno,142,minimercati,250.0,0.0
alimentare,non alimentare,preparazione pasti,VIA,GIAMBELLINO,150,5136,6,esterno,135,cibi cotti da asportare,32.0,0.0
alimentare,non alimentare,princi,VIA,DELLA MOSCOVA,52,1016,1,esterno,86,pasticceria,34.0,16.0
alimentare,non alimentare,prod.alimentari preconfez,VLE,BRIANZA,20,2263,2,esterno,354,alimentari internazionali,45.0,45.0
alimentare,non alimentare,prodot.merid.sicil.calabr,VIA,TORRICELLI EVANGELISTA,11,5240,5,esterno,127,salumeria,52.0,28.0
alimentare,non alimentare,prodotti asiatici confezi,VLE,STELVIO,16,1227,9,esterno,171,alimentari internazionali,27.0,14.0
alimentare,non alimentare,prodotti tipici peruviani,VIA,BALDISSERA ANTONIO,4,2164,3,esterno,114,alimentari internazionali,54.0,76.0
